system,reference,model,skill,ci_low,ci_high,admitted,reference_loss,model_loss,n_windows
tep,drift,gru_s31337,3.412790042443262,3.323964624220173,3.5070376079380114,True,2.235013701915667,0.6548934080678431,1440
tep,drift,gru_s42,3.417883789827839,3.327926360529283,3.513311841098924,True,2.235013701915667,0.6539174060181391,1440
tep,drift,gru_s7,3.421316470445665,3.3315639227774314,3.5154889447370397,True,2.235013701915667,0.6532613165786827,1440
tep,drift,mlp_s123,3.310114422649155,3.221985657193075,3.401863365824172,True,2.235013701915667,0.6752073845613282,1440
tep,drift,mlp_s2024,3.307814141346745,3.2237252047774336,3.394867393368807,True,2.235013701915667,0.6756769293590668,1440
tep,drift,mlp_s31337,3.322161364937234,3.2333053971138987,3.4132863368201756,True,2.235013701915667,0.6727589230024933,1440
tep,drift,mlp_s42,3.3091634899318625,3.2228189634800812,3.398770096772219,True,2.235013701915667,0.6754014145011877,1440
tep,drift,mlp_s7,3.3083223754715596,3.2234388570623658,3.3974389903307602,True,2.235013701915667,0.675573129900043,1440
tep,drift,ridge,3.4045837152068614,3.3122875195631902,3.500974130237692,True,2.235013701915667,0.6564719474903169,1440
tep,ar1,gru_s123,1.5517696013202567,1.5033429114863681,1.6020159578328328,True,1.0154867941181824,0.6544056496880716,1440
tep,ar1,gru_s2024,1.5552997373239024,1.5068634567109453,1.605197139783109,True,1.0154867941181824,0.6529203148104821,1440
tep,ar1,gru_s31337,1.550613858084496,1.5021706937168908,1.6006615502207249,True,1.0154867941181824,0.6548934080678431,1440
tep,ar1,gru_s42,1.5529282211674509,1.5040292800667912,1.603633275110522,True,1.0154867941181824,0.6539174060181391,1440
tep,ar1,gru_s7,1.5544878723824926,1.5052926087064236,1.6044316248021906,True,1.0154867941181824,0.6532613165786827,1440
tep,ar1,mlp_s123,1.5039628080755196,1.4563160795547785,1.553561807525155,True,1.0154867941181824,0.6752073845613282,1440
tep,ar1,mlp_s2024,1.502917666704193,1.4558758105193623,1.5510928752822801,True,1.0154867941181824,0.6756769293590668,1440
tep,ar1,mlp_s31337,1.50943638114246,1.4607767504975675,1.5590235729886326,True,1.0154867941181824,0.6727589230024933,1440
tep,ar1,mlp_s42,1.5035307482560754,1.4568721713111832,1.5520739778116028,True,1.0154867941181824,0.6754014145011877,1440
tep,ar1,mlp_s7,1.5031485847704342,1.456123741319738,1.5521559564138678,True,1.0154867941181824,0.675573129900043,1440
tep,ar1,ridge,1.5468852827609378,1.4981156724247287,1.5974824366399771,True,1.0154867941181824,0.6564719474903169,1440
