reference,model,domain,severity,skill,method
ar1,patchtf_s42,actuation_idv6,1.0,1.335248893480318,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s123,actuation_idv6,0.0,1.988773703575134,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s123,actuation_idv6,0.35,1.9763652086257932,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s123,actuation_idv6,0.75,1.8329894542694094,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s123,actuation_idv6,1.0,1.6141653060913088,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s123,actuation_idv6,0.0,1.9511757851591165,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s123,actuation_idv6,0.35,1.9367645693138307,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s123,actuation_idv6,0.75,1.7941867506463156,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s123,actuation_idv6,1.0,1.6027088994139604,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s123,actuation_idv6,0.0,3.4452766252958558,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s123,actuation_idv6,0.35,3.4482984776000407,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s123,actuation_idv6,0.75,3.2100413116312616,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s123,actuation_idv6,1.0,2.7467761650455937,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s123,actuation_idv6,0.0,1.590349643705529,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s123,actuation_idv6,0.35,1.5715553750012805,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s123,actuation_idv6,0.75,1.4642149693219026,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s123,actuation_idv6,1.0,1.336854034529709,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s7,actuation_idv6,0.0,1.9976102113723757,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s7,actuation_idv6,0.35,1.9753137826919556,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s7,actuation_idv6,0.75,1.8125038146972658,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s7,actuation_idv6,1.0,1.5896122455596924,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s7,actuation_idv6,0.0,1.9598452381030849,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s7,actuation_idv6,0.35,1.9357342109129503,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s7,actuation_idv6,0.75,1.7741347732531854,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s7,actuation_idv6,1.0,1.578330102227965,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s7,actuation_idv6,0.0,3.460584658436253,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s7,actuation_idv6,0.35,3.4464639834331035,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s7,actuation_idv6,0.75,3.1741656282395208,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s7,actuation_idv6,1.0,2.7049949663092168,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s7,actuation_idv6,0.0,1.5974158760283321,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s7,actuation_idv6,0.35,1.5707193078257773,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s7,actuation_idv6,0.75,1.4478507834572212,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s7,actuation_idv6,1.0,1.3165191543858492,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s2024,actuation_idv6,0.0,1.987910270690918,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s2024,actuation_idv6,0.35,1.9658108949661253,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s2024,actuation_idv6,0.75,1.797652006149292,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s2024,actuation_idv6,1.0,1.5799325704574585,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s2024,actuation_idv6,0.0,1.950328675539372,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s2024,actuation_idv6,0.35,1.9264217335564238,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s2024,actuation_idv6,0.75,1.7595973638546512,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s2024,actuation_idv6,1.0,1.5687191278307067,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s2024,actuation_idv6,0.0,3.4437808467021656,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s2024,actuation_idv6,0.35,3.4298836504385917,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s2024,actuation_idv6,0.75,3.148156248381721,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s2024,actuation_idv6,1.0,2.688523356644539,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s2024,actuation_idv6,0.0,1.589659187985349,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s2024,actuation_idv6,0.35,1.5631628530681332,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s2024,actuation_idv6,0.75,1.4359869724861354,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s2024,actuation_idv6,1.0,1.3085024335056978,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s31337,actuation_idv6,0.0,1.9999471902847292,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s31337,actuation_idv6,0.35,1.9824596643447876,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s31337,actuation_idv6,0.75,1.828881859779358,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s31337,actuation_idv6,1.0,1.611004114151001,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s31337,actuation_idv6,0.0,1.9621380362510163,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s31337,actuation_idv6,0.35,1.9427369097771638,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s31337,actuation_idv6,0.75,1.790166110159862,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s31337,actuation_idv6,1.0,1.599570143775757,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s31337,actuation_idv6,0.0,3.464633152644552,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s31337,actuation_idv6,0.35,3.458931888007129,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s31337,actuation_idv6,0.75,3.2028478452565468,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s31337,actuation_idv6,1.0,2.7413968605580017,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s31337,actuation_idv6,0.0,1.599284672651059,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s31337,actuation_idv6,0.35,1.5764015312689026,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s31337,actuation_idv6,0.75,1.460933771317065,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s31337,actuation_idv6,1.0,1.334235930805527,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear,dynamics_idv13,0.0,1.7819072008132935,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear,dynamics_idv13,1.0,1.7096035480499265,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear,dynamics_idv13,3.0,1.432438850402832,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear,dynamics_idv13,6.0,1.3601330518722534,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear,dynamics_idv13,0.0,1.7482201093957745,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear,dynamics_idv13,1.0,1.6846822182867547,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear,dynamics_idv13,3.0,1.4278163111581204,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear,dynamics_idv13,6.0,1.3643301026849082,exact rescaling of published aggregate; no per-episode CI
drift,dlinear,dynamics_idv13,0.0,3.0869088908266913,exact rescaling of published aggregate; no per-episode CI
drift,dlinear,dynamics_idv13,1.0,2.898146182974556,exact rescaling of published aggregate; no per-episode CI
drift,dlinear,dynamics_idv13,3.0,2.190592784888285,exact rescaling of published aggregate; no per-episode CI
drift,dlinear,dynamics_idv13,6.0,1.98012077531236,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear,dynamics_idv13,0.0,1.4249260621434383,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear,dynamics_idv13,1.0,1.3842750647102653,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear,dynamics_idv13,3.0,1.2303317731571686,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear,dynamics_idv13,6.0,1.1955756292128614,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf,dynamics_idv13,0.0,1.9930928945541382,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf,dynamics_idv13,1.0,1.8844878673553467,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf,dynamics_idv13,3.0,1.5119343996047971,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf,dynamics_idv13,6.0,1.4174951314926147,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf,dynamics_idv13,0.0,1.955413321503528,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf,dynamics_idv13,1.0,1.8570172039780803,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf,dynamics_idv13,3.0,1.5070553249443768,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf,dynamics_idv13,6.0,1.4218691881963879,exact rescaling of published aggregate; no per-episode CI
drift,patchtf,dynamics_idv13,0.0,3.45275902899689,exact rescaling of published aggregate; no per-episode CI
drift,patchtf,dynamics_idv13,1.0,3.1946127661395463,exact rescaling of published aggregate; no per-episode CI
drift,patchtf,dynamics_idv13,3.0,2.3121633332321703,exact rescaling of published aggregate; no per-episode CI
drift,patchtf,dynamics_idv13,6.0,2.0636301389110523,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf,dynamics_idv13,0.0,1.5938035428707316,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf,dynamics_idv13,1.0,1.5258798260594448,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf,dynamics_idv13,3.0,1.2986110578053416,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf,dynamics_idv13,6.0,1.245997684864453,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s42,dynamics_idv13,0.0,1.7994544506072996,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s42,dynamics_idv13,1.0,1.7224771976470947,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s42,dynamics_idv13,3.0,1.4385062456130981,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s42,dynamics_idv13,6.0,1.3635588884353638,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s42,dynamics_idv13,0.0,1.7654356270952773,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s42,dynamics_idv13,1.0,1.6973682053891692,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s42,dynamics_idv13,3.0,1.4338641266338208,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s42,dynamics_idv13,6.0,1.3677665105741925,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s42,dynamics_idv13,0.0,3.11730708517371,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s42,dynamics_idv13,1.0,2.9199697914266687,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s42,dynamics_idv13,3.0,2.1998715001136766,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s42,dynamics_idv13,6.0,1.9851082066096892,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s42,dynamics_idv13,0.0,1.4389579564749773,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s42,dynamics_idv13,1.0,1.3946989271019317,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s42,dynamics_idv13,3.0,1.2355431014490483,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s42,dynamics_idv13,6.0,1.1985869865935848,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s123,dynamics_idv13,0.0,1.8065581321716306,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s123,dynamics_idv13,1.0,1.7306653261184692,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s123,dynamics_idv13,3.0,1.4427229166030884,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s123,dynamics_idv13,6.0,1.3676373958587646,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s123,dynamics_idv13,0.0,1.772405013018315,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s123,dynamics_idv13,1.0,1.7054369734099812,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s123,dynamics_idv13,3.0,1.4380671902526287,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s123,dynamics_idv13,6.0,1.3718576033125904,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s123,dynamics_idv13,0.0,3.1296132354426613,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s123,dynamics_idv13,1.0,2.9338504325274006,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s123,dynamics_idv13,3.0,2.206319949235482,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s123,dynamics_idv13,6.0,1.9910458148975145,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s123,dynamics_idv13,0.0,1.444638510991825,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s123,dynamics_idv13,1.0,1.4013288981747554,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s123,dynamics_idv13,3.0,1.239164829730487,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s123,dynamics_idv13,6.0,1.2021720506226292,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s7,dynamics_idv13,0.0,1.7984269857406616,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s7,dynamics_idv13,1.0,1.7232887744903564,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s7,dynamics_idv13,3.0,1.4383145570755005,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s7,dynamics_idv13,6.0,1.3648910522460938,exact rescaling of published aggregate; no per-episode CI
