reference,model,domain,min_skill,crossing,last_severity
drift,patchtf_s42,process_idv1,1.8129155396424632,,2.0
ar1,patchtf_s42,process_idv1,1.2171965929702864,,2.0
persistence,patchtf_s123,process_idv1,1.3071715831756592,,2.0
history_mean,patchtf_s123,process_idv1,1.3255380696239978,,2.0
drift,patchtf_s123,process_idv1,1.824476846273195,,2.0
ar1,patchtf_s123,process_idv1,1.2249588867636236,,2.0
persistence,patchtf_s7,process_idv1,1.2654521465301514,,2.0
history_mean,patchtf_s7,process_idv1,1.2832324517321685,,2.0
drift,patchtf_s7,process_idv1,1.7662471944210847,,2.0
ar1,patchtf_s7,process_idv1,1.185863334712582,,2.0
persistence,patchtf_s2024,process_idv1,1.3138823509216309,,2.0
history_mean,patchtf_s2024,process_idv1,1.332343127382429,,2.0
drift,patchtf_s2024,process_idv1,1.8338433598440433,,2.0
ar1,patchtf_s2024,process_idv1,1.2312475903226958,,2.0
persistence,patchtf_s31337,process_idv1,1.3093843460083008,,2.0
history_mean,patchtf_s31337,process_idv1,1.3277819230029015,,2.0
drift,patchtf_s31337,process_idv1,1.827565296639168,,2.0
ar1,patchtf_s31337,process_idv1,1.2270324810270177,,2.0
persistence,dlinear,regime_setpt18,0.021128132939338684,0.11372450850281082,1.0
history_mean,dlinear,regime_setpt18,0.021324446850740173,0.11100422803333466,1.0
drift,dlinear,regime_setpt18,0.03872888446573036,0.17508957834028546,1.0
ar1,dlinear,regime_setpt18,1.0519374637580516,,1.0
persistence,patchtf,regime_setpt18,0.0671907290816307,0.1381305201046637,1.0
history_mean,patchtf,regime_setpt18,0.06781503766932295,0.13574930234547825,1.0
drift,patchtf,regime_setpt18,0.12316383994941464,0.19652421694143057,1.0
ar1,patchtf,regime_setpt18,1.5938035428707316,,1.0
persistence,dlinear_s42,regime_setpt18,0.02004341594874859,0.11489900164004917,1.0
history_mean,dlinear_s42,regime_setpt18,0.020229651116524323,0.11220783824350763,1.0
drift,dlinear_s42,regime_setpt18,0.03674054602015196,0.1755425810854407,1.0
ar1,dlinear_s42,regime_setpt18,0.9995458882109354,0.41938172330041557,1.0
persistence,dlinear_s123,regime_setpt18,0.020790979266166687,0.11558923068468423,1.0
history_mean,dlinear_s123,regime_setpt18,0.020984160484465865,0.11290901720105345,1.0
drift,dlinear_s123,regime_setpt18,0.03811086555734103,0.17605536711521813,1.0
ar1,dlinear_s123,regime_setpt18,1.036400463398466,,1.0
persistence,dlinear_s7,regime_setpt18,0.01974407397210598,0.11475380270524996,1.0
history_mean,dlinear_s7,regime_setpt18,0.019927527777493945,0.11206118899080442,1.0
drift,dlinear_s7,regime_setpt18,0.03619183777118267,0.17540068240834383,1.0
ar1,dlinear_s7,regime_setpt18,0.9839563103886088,0.24142232381571652,1.0
persistence,dlinear_s2024,regime_setpt18,0.026337962597608566,0.1080484861028474,1.0
history_mean,dlinear_s2024,regime_setpt18,0.026582684100958046,0.10518413398998419,1.0
drift,dlinear_s2024,regime_setpt18,0.04827875295153446,0.17297110493232976,1.0
ar1,dlinear_s2024,regime_setpt18,1.300055493740715,,1.0
persistence,dlinear_s31337,regime_setpt18,0.019981738179922104,0.11554357564831796,1.0
history_mean,dlinear_s31337,regime_setpt18,0.020167400263266785,0.11286613765883957,1.0
drift,dlinear_s31337,regime_setpt18,0.03662748770166054,0.17588028748292406,1.0
ar1,dlinear_s31337,regime_setpt18,0.9958518467502578,0.24795019468857007,1.0
persistence,patchtf_s42,regime_setpt18,0.05533552169799805,0.13556838043671116,1.0
history_mean,patchtf_s42,regime_setpt18,0.055849676580266405,0.13317368088014384,1.0
drift,patchtf_s42,regime_setpt18,0.10143267428531058,0.19305596852659918,1.0
ar1,patchtf_s42,regime_setpt18,1.5923556163300974,,1.0
persistence,patchtf_s123,regime_setpt18,0.07059724628925323,0.13861491406388712,1.0
history_mean,patchtf_s123,regime_setpt18,0.07125320683214686,0.1362310453101444,1.0
drift,patchtf_s123,regime_setpt18,0.12940814992906705,0.197446861084259,1.0
ar1,patchtf_s123,regime_setpt18,1.590349643705529,,1.0
persistence,patchtf_s7,regime_setpt18,0.0651448667049408,0.13781911393322724,1.0
history_mean,patchtf_s7,regime_setpt18,0.06575016598184774,0.1354416348831189,1.0
drift,patchtf_s7,regime_setpt18,0.11941367575615167,0.19583471924120768,1.0
ar1,patchtf_s7,regime_setpt18,1.5974158760283321,,1.0
persistence,patchtf_s2024,regime_setpt18,0.08306814730167389,0.14130107792219251,1.0
history_mean,patchtf_s2024,regime_setpt18,0.08383998232166771,0.13893088094601694,1.0
drift,patchtf_s2024,regime_setpt18,0.15226791164489412,0.2012412189760077,1.0
ar1,patchtf_s2024,regime_setpt18,1.589659187985349,,1.0
persistence,patchtf_s31337,regime_setpt18,0.06761377304792404,0.13867323684055843,1.0
history_mean,patchtf_s31337,regime_setpt18,0.0682420123859555,0.13630260733080282,1.0
drift,patchtf_s31337,regime_setpt18,0.12393929989855161,0.1968905776167525,1.0
ar1,patchtf_s31337,regime_setpt18,1.599284672651059,,1.0
