system,reference,model,domain,metric,value
mbr,history_mean,gru_s123,obs_noise,normalized_trapezoid,1.2304699945733908
mbr,history_mean,gru_s42,obs_noise,grid_mean,2.524767186044976
mbr,history_mean,gru_s42,obs_noise,grid_min,0.6310502306796925
mbr,history_mean,gru_s42,obs_noise,normalized_trapezoid,1.4438830558701152
mbr,history_mean,gru_s7,obs_noise,grid_mean,2.4611734700854964
mbr,history_mean,gru_s7,obs_noise,grid_min,0.6275741317496297
mbr,history_mean,gru_s7,obs_noise,normalized_trapezoid,1.4151032421959593
mbr,history_mean,mlp_s123,obs_noise,grid_mean,0.8618296027892463
mbr,history_mean,mlp_s123,obs_noise,grid_min,0.5076785985535753
mbr,history_mean,mlp_s123,obs_noise,normalized_trapezoid,0.7125864469762417
mbr,history_mean,mlp_s42,obs_noise,grid_mean,1.2793006252945596
mbr,history_mean,mlp_s42,obs_noise,grid_min,0.5751270766526188
mbr,history_mean,mlp_s42,obs_noise,normalized_trapezoid,0.9535467949508055
mbr,history_mean,mlp_s7,obs_noise,grid_mean,1.6767253726392533
mbr,history_mean,mlp_s7,obs_noise,grid_min,0.6065160035634354
mbr,history_mean,mlp_s7,obs_noise,normalized_trapezoid,1.1376377663102617
mbr,history_mean,ridge,obs_noise,grid_mean,1.1933045379227218
mbr,history_mean,ridge,obs_noise,grid_min,0.41715126749091697
mbr,history_mean,ridge,obs_noise,normalized_trapezoid,0.8116336925379528
mbr,drift,gru_s123,obs_noise,grid_mean,6.077033977608754
mbr,drift,gru_s123,obs_noise,grid_min,4.499604345540824
mbr,drift,gru_s123,obs_noise,normalized_trapezoid,5.258198502449902
mbr,drift,gru_s42,obs_noise,grid_mean,7.8168547409808955
mbr,drift,gru_s42,obs_noise,grid_min,4.644845864632639
mbr,drift,gru_s42,obs_noise,normalized_trapezoid,5.980718908709095
mbr,drift,gru_s7,obs_noise,grid_mean,7.630275972690268
mbr,drift,gru_s7,obs_noise,grid_min,4.619260034923069
mbr,drift,gru_s7,obs_noise,normalized_trapezoid,5.879064875053078
mbr,drift,mlp_s123,obs_noise,grid_mean,2.9300006965756173
mbr,drift,mlp_s123,obs_noise,grid_min,2.606120078813146
mbr,drift,mlp_s123,obs_noise,normalized_trapezoid,3.286457798110379
mbr,drift,mlp_s42,obs_noise,grid_mean,4.218500534324681
mbr,drift,mlp_s42,obs_noise,grid_min,4.132730569581046
mbr,drift,mlp_s42,obs_noise,normalized_trapezoid,4.253401548310948
mbr,drift,mlp_s7,obs_noise,grid_mean,5.395522038920123
mbr,drift,mlp_s7,obs_noise,grid_min,4.464261660994581
mbr,drift,mlp_s7,obs_noise,normalized_trapezoid,4.938568373595394
mbr,drift,ridge,obs_noise,grid_mean,3.838848426125132
mbr,drift,ridge,obs_noise,grid_min,3.070442328567875
mbr,drift,ridge,obs_noise,normalized_trapezoid,3.5061595608055574
mbr,ar1,gru_s123,obs_noise,grid_mean,2.045302125227693
mbr,ar1,gru_s123,obs_noise,grid_min,1.1432265148178355
mbr,ar1,gru_s123,obs_noise,normalized_trapezoid,1.567827023514034
mbr,ar1,gru_s42,obs_noise,grid_mean,2.661609271960356
mbr,ar1,gru_s42,obs_noise,grid_min,1.1801284161689478
mbr,ar1,gru_s42,obs_noise,normalized_trapezoid,1.8038897071064404
mbr,ar1,gru_s7,obs_noise,grid_mean,2.596537868448119
mbr,ar1,gru_s7,obs_noise,grid_min,1.173627755959438
mbr,ar1,gru_s7,obs_noise,normalized_trapezoid,1.7712766133848818
mbr,ar1,mlp_s123,obs_noise,grid_mean,0.9574283734171993
mbr,ar1,mlp_s123,obs_noise,grid_min,0.9494108571810433
mbr,ar1,mlp_s123,obs_noise,normalized_trapezoid,0.9539655576674695
mbr,ar1,mlp_s42,obs_noise,grid_mean,1.396604977216841
mbr,ar1,mlp_s42,obs_noise,grid_min,1.0755464035484008
mbr,ar1,mlp_s42,obs_noise,normalized_trapezoid,1.2489586210770567
mbr,ar1,mlp_s7,obs_noise,grid_mean,1.8055278418711995
mbr,ar1,mlp_s7,obs_noise,grid_min,1.1342469043953882
mbr,ar1,mlp_s7,obs_noise,normalized_trapezoid,1.4641939077695918
mbr,ar1,ridge,obs_noise,grid_mean,1.284662382722471
mbr,ar1,ridge,obs_noise,grid_min,0.7801154974251199
mbr,ar1,ridge,obs_noise,normalized_trapezoid,1.0412783225335849
mbr,persistence,gru_s123,process,grid_mean,2.4606007854321295
mbr,persistence,gru_s123,process,grid_min,2.162707715342099
mbr,persistence,gru_s123,process,normalized_trapezoid,2.4320701990223177
mbr,persistence,gru_s42,process,grid_mean,3.326498190814237
mbr,persistence,gru_s42,process,grid_min,2.6518898066284704
mbr,persistence,gru_s42,process,normalized_trapezoid,3.255753809215835
mbr,persistence,gru_s7,process,grid_mean,3.2849873189766883
mbr,persistence,gru_s7,process,grid_min,2.633451486443247
mbr,persistence,gru_s7,process,normalized_trapezoid,3.2177761241653213
mbr,persistence,mlp_s123,process,grid_mean,0.9837603234431249
mbr,persistence,mlp_s123,process,grid_min,0.9578827339557869
mbr,persistence,mlp_s123,process,normalized_trapezoid,0.9784065062422408
mbr,persistence,mlp_s42,process,grid_mean,1.5287267834838218
mbr,persistence,mlp_s42,process,grid_min,1.4332310987377324
mbr,persistence,mlp_s42,process,normalized_trapezoid,1.516055647974499
mbr,persistence,mlp_s7,process,grid_mean,2.0983094042712684
mbr,persistence,mlp_s7,process,grid_min,1.8867440100656772
mbr,persistence,mlp_s7,process,normalized_trapezoid,2.0760278861174033
mbr,persistence,ridge,process,grid_mean,1.5168065082469449
mbr,persistence,ridge,process,grid_min,1.456810493093111
mbr,persistence,ridge,process,normalized_trapezoid,1.5085486494328075
mbr,history_mean,gru_s123,process,grid_mean,2.3890227642204476
mbr,history_mean,gru_s123,process,grid_min,2.0884454164144266
mbr,history_mean,gru_s123,process,normalized_trapezoid,2.3597904450464005
mbr,history_mean,gru_s42,process,grid_mean,3.2302912354408733
mbr,history_mean,gru_s42,process,grid_min,2.560830144638066
mbr,history_mean,gru_s42,process,normalized_trapezoid,3.159434104683864
