dataset,reference,model,domain,clean_min,clean_max,no_crossing_count,crossing_min,crossing_max
mbr_reference,history_mean,mlp_s123,process,0.9716046381904802,1.020840241240586,0,0.0,19.803243777292508
mbr_reference,history_mean,mlp_s42,process,1.5074521824055667,1.6854609339340276,8,,
mbr_reference,history_mean,mlp_s7,process,2.0868446046119975,2.2976690860227578,8,,
mbr_reference,history_mean,ridge,process,1.413490367068558,1.6250365173032426,8,,
mbr_reference,drift,gru_s123,process,6.266938395487873,7.319998298526381,8,,
mbr_reference,drift,gru_s42,process,9.12385628252201,10.291412813283902,8,,
mbr_reference,drift,gru_s7,process,8.998172592430148,10.070146804768878,8,,
mbr_reference,drift,mlp_s123,process,2.4545762832924485,2.748675413291421,8,,
mbr_reference,drift,mlp_s42,process,3.733871563263994,4.395529039029856,8,,
mbr_reference,drift,mlp_s7,process,5.467533875146068,6.022586488921983,8,,
mbr_reference,drift,ridge,process,3.742113784967454,4.2842040476064795,8,,
mbr_reference,ar1,gru_s123,process,2.358703716531028,2.6907606851160484,8,,
mbr_reference,ar1,gru_s42,process,3.4503758287165343,3.720099614542495,8,,
mbr_reference,ar1,gru_s7,process,3.2781465714155553,3.6661163966884187,8,,
mbr_reference,ar1,mlp_s123,process,0.9571721617925244,0.9668500963106127,0,0.0,0.0
mbr_reference,ar1,mlp_s42,process,1.4277261307521032,1.6604246442823203,8,,
mbr_reference,ar1,mlp_s7,process,2.0293103430302812,2.263538891959363,8,,
mbr_reference,ar1,ridge,process,1.3745204675645748,1.6008977881742064,8,,
