"system","reference","model","domain","severity","skill","ci_low","ci_high","reference_loss","model_loss","n_valid","panel","x"
"mbr","History mean","GRU (seed 42)","obs_noise",0.03,3.5914885889005,3.3044358886942,3.87766314345953,139.026439182466,38.7099765852319,72,"MBR: observation noise",0.03
"mbr","History mean","GRU (seed 42)","obs_noise",0.04,3.51603179925217,3.23017416700859,3.79929737668825,139.083735031531,39.5570185289886,72,"MBR: observation noise",0.04
"mbr","History mean","GRU (seed 42)","obs_noise",0.05,3.42725874013939,3.14617153992129,3.71097261701912,139.147813763882,40.6003235571944,72,"MBR: observation noise",0.05
"mbr","History mean","GRU (seed 42)","obs_noise",0.07,3.22809207498632,2.94775483592856,3.51455124962705,139.295753779073,43.1511092445104,72,"MBR: observation noise",0.07
"mbr","History mean","GRU (seed 42)","obs_noise",0.09,3.02105875758174,2.74402358975077,3.30782274430787,139.469113177382,46.1656407136625,72,"MBR: observation noise",0.09
"mbr","History mean","GRU (seed 42)","obs_noise",0.12,2.72529118363837,2.45695709097769,3.02327858663008,139.774351716121,51.287859644237,72,"MBR: observation noise",0.12
"mbr","History mean","GRU (seed 42)","obs_noise",0.16,2.38282884216271,2.11527301700954,2.67436859655063,140.260139389643,58.8628679105375,72,"MBR: observation noise",0.16
"mbr","History mean","GRU (seed 42)","obs_noise",0.2,2.10212605201223,1.84467893940786,2.38358071372821,140.828812026532,66.9935144430208,72,"MBR: observation noise",0.2
"mbr","History mean","GRU (seed 42)","obs_noise",0.25,1.82370273183733,1.58285662365201,2.09182518163156,141.64533010888,77.6690891756114,72,"MBR: observation noise",0.25
"mbr","History mean","GRU (seed 42)","obs_noise",0.3,1.60668244428085,1.38447445740099,1.85509382378142,142.567394017762,88.7340211659405,72,"MBR: observation noise",0.3
"mbr","History mean","GRU (seed 42)","obs_noise",0.4,1.29620174920936,1.10805433228822,1.50635851428706,144.683686607628,111.621270913945,72,"MBR: observation noise",0.4
"mbr","History mean","GRU (seed 42)","obs_noise",0.5,1.08836259438871,0.926815746597568,1.26772461481832,147.102982296079,135.159902641363,72,"MBR: observation noise",0.5
"mbr","History mean","GRU (seed 42)","obs_noise",0.6,0.941257464192021,0.801393895301583,1.09760183281571,149.771080590944,159.118080109471,72,"MBR: observation noise",0.6
"mbr","History mean","GRU (seed 42)","obs_noise",0.8,0.749226747242695,0.639862405804494,0.872179820238581,155.704965391908,207.82088461862,72,"MBR: observation noise",0.8
"mbr","History mean","GRU (seed 42)","obs_noise",1,0.631050230679692,0.541804502263719,0.730804798644556,162.266417252985,257.137085709027,72,"MBR: observation noise",1
"mbr","History mean","Ridge","obs_noise",0,1.52734757117566,1.2920941331338,1.80924083090967,138.896538177017,90.9397054071348,72,"MBR: observation noise",0
"mbr","History mean","Ridge","obs_noise",0.005,1.5281418186582,1.29331028304775,1.8099600984886,138.913731653697,90.9036909778908,72,"MBR: observation noise",0.005
"mbr","History mean","Ridge","obs_noise",0.01,1.52803933814248,1.29399753624066,1.80951215367529,138.932724570546,90.9222171854787,72,"MBR: observation noise",0.01
"mbr","History mean","Ridge","obs_noise",0.015,1.52704803089611,1.29386485828233,1.80862836299086,138.953505332699,90.9948492262931,72,"MBR: observation noise",0.015
"mbr","History mean","Ridge","obs_noise",0.02,1.52518704120089,1.29258841778674,1.80715109492269,138.976060963557,91.1206673078808,72,"MBR: observation noise",0.02
"mbr","History mean","Ridge","obs_noise",0.03,1.51897109146173,1.28953587676752,1.79954257541767,139.026439182466,91.5267182923662,72,"MBR: observation noise",0.03
"mbr","History mean","Ridge","obs_noise",0.04,1.50966275019305,1.28235011179101,1.78520165246053,139.083735031531,92.1290102797767,72,"MBR: observation noise",0.04
"mbr","History mean","Ridge","obs_noise",0.05,1.4975599596734,1.27312663705327,1.76963586890929,139.147813763882,92.9163556123847,72,"MBR: observation noise",0.05
"mbr","History mean","Ridge","obs_noise",0.07,1.46615909156913,1.24859955902289,1.73081422121309,139.295753779073,95.0072571115013,72,"MBR: observation noise",0.07
"mbr","History mean","Ridge","obs_noise",0.09,1.42711755020254,1.21712036067473,1.69037603240737,139.469113177382,97.7278382972642,72,"MBR: observation noise",0.09
"mbr","History mean","Ridge","obs_noise",0.12,1.35924742871627,1.16410387073096,1.6133093190355,139.774351716121,102.83216194724,72,"MBR: observation noise",0.12
"mbr","History mean","Ridge","obs_noise",0.16,1.26160296946437,1.0833799031235,1.49467734324271,140.260139389643,111.176132891628,72,"MBR: observation noise",0.16
"mbr","History mean","Ridge","obs_noise",0.2,1.16535323313237,1.00640438090366,1.37754272196393,140.828812026532,120.846459273122,72,"MBR: observation noise",0.2
"mbr","History mean","Ridge","obs_noise",0.25,1.05488867908743,0.914554878380073,1.2449680663109,141.64533010888,134.275144777756,72,"MBR: observation noise",0.25
"mbr","History mean","Ridge","obs_noise",0.3,0.958341024062616,0.83266647389277,1.13063232899003,142.567394017762,148.764782512793,72,"MBR: observation noise",0.3
"mbr","History mean","Ridge","obs_noise",0.4,0.804532777032807,0.69842295981406,0.952281700574443,144.683686607628,179.835664547111,72,"MBR: observation noise",0.4
"mbr","History mean","Ridge","obs_noise",0.5,0.691563849648124,0.598296531819824,0.815641500803396,147.102982296079,212.710630220083,72,"MBR: observation noise",0.5
"mbr","History mean","Ridge","obs_noise",0.6,0.606982306313948,0.524751805612304,0.715119245179976,149.771080590944,246.747028756845,72,"MBR: observation noise",0.6
"mbr","History mean","Ridge","obs_noise",0.8,0.491192980332413,0.424913493795159,0.576739478917574,155.704965391908,316.993466165855,72,"MBR: observation noise",0.8
"mbr","History mean","Ridge","obs_noise",1,0.417151267490917,0.361986662948358,0.485872488649801,162.266417252985,388.986993205093,72,"MBR: observation noise",1
"mbr","Drift","GRU (seed 42)","obs_noise",0,9.72898254414084,7.7418788644721,11.5098360918787,366.861630091844,37.708118852858,72,"MBR: observation noise",0
"mbr","Drift","GRU (seed 42)","obs_noise",0.005,9.73380003830266,7.73599488379915,11.5265145541952,366.880913764944,37.6914372928621,72,"MBR: observation noise",0.005
"mbr","Drift","GRU (seed 42)","obs_noise",0.01,9.73246402194913,7.75593803697129,11.5356972426566,367.420753116266,37.7520792563569,72,"MBR: observation noise",0.01
"mbr","Drift","GRU (seed 42)","obs_noise",0.015,9.72296837200757,7.7389729053379,11.5371870488993,368.384229972819,37.8880415813547,72,"MBR: observation noise",0.015
"mbr","Drift","GRU (seed 42)","obs_noise",0.02,9.70369044650936,7.71024002604009,11.5127787035017,369.671020377023,38.0959205587604,72,"MBR: observation noise",0.02
"mbr","Drift","GRU (seed 42)","obs_noise",0.03,9.63431062680563,7.66761833853248,11.4279460036317,372.943938778497,38.7099765852319,72,"MBR: observation noise",0.03
"mbr","Drift","GRU (seed 42)","obs_noise",0.04,9.52807048041655,7.57869796126227,11.3043608733018,376.902060539347,39.5570185289886,72,"MBR: observation noise",0.04
