"system","reference","model","domain","severity","skill","ci_low","ci_high","reference_loss","model_loss","n_valid"
"tep","persistence","MLP (seed 42)","Actuation / IDV(6)",0.75,1.81005642625757,1.71030293160801,1.91678793385208,1.34454937290053,0.742821800136079,80
"tep","persistence","MLP (seed 42)","Actuation / IDV(6)",1,1.61595827463212,1.50992050607635,1.72928728234042,1.46340091739206,0.905593257180608,78
"tep","persistence","Ridge","Actuation / IDV(6)",0,2.00306990143064,1.910100610093,2.10284993036006,1.30908275274108,0.653538227400901,80
"tep","persistence","Ridge","Actuation / IDV(6)",0.05,2.00087122030563,1.90694091368018,2.10186955464605,1.30742544581893,0.653428083002373,80
"tep","persistence","Ridge","Actuation / IDV(6)",0.1,1.99841214334535,1.90496307977114,2.09921538239355,1.30595565975978,0.65349665938959,80
"tep","persistence","Ridge","Actuation / IDV(6)",0.2,1.99320918008668,1.89982484646867,2.09311092163556,1.30365418918567,0.654047855192486,80
"tep","persistence","Ridge","Actuation / IDV(6)",0.35,1.98453993879131,1.89041087398278,2.0850229429785,1.30236101847006,0.656253367852737,80
"tep","persistence","Ridge","Actuation / IDV(6)",0.5,1.96989663697813,1.87396028205429,2.07175597920821,1.30607518684091,0.663017115885056,80
"tep","persistence","Ridge","Actuation / IDV(6)",0.75,1.91335277795787,1.81278060262792,2.01876367149841,1.34454937290053,0.702719011564385,80
"tep","persistence","Ridge","Actuation / IDV(6)",1,1.79401451994103,1.68764995038877,1.90474243508376,1.46340091739206,0.815712972847157,78
"tep","persistence","GRU (seed 42)","Dynamics / IDV(13)",0,2.03666325411613,1.94530679251196,2.13223489457426,1.30908275274108,0.642758566049346,80
"tep","persistence","GRU (seed 42)","Dynamics / IDV(13)",0.25,2.03121583962181,1.94200471482134,2.12329017233454,1.31435241683639,0.647076687370215,80
"tep","persistence","GRU (seed 42)","Dynamics / IDV(13)",0.5,2.00677594650561,1.92236210800178,2.09349885910427,1.32308333986877,0.659307952226879,80
"tep","persistence","GRU (seed 42)","Dynamics / IDV(13)",1,1.92276865262623,1.83896174291285,2.00691919347983,1.35009987557646,0.702164492713365,80
"tep","persistence","GRU (seed 42)","Dynamics / IDV(13)",1.5,1.83187424586182,1.74124876433393,1.92651681982379,1.36808301674666,0.746821469780003,78
"tep","persistence","GRU (seed 42)","Dynamics / IDV(13)",2,1.7389402268709,1.63527730517796,1.84732307882578,1.39666328224403,0.803169229546912,77
"tep","persistence","GRU (seed 42)","Dynamics / IDV(13)",3,1.5338852275832,1.38349142166287,1.71192193053674,1.6231309495998,1.0581827899583,73
"tep","persistence","GRU (seed 42)","Dynamics / IDV(13)",4,1.37491668341769,1.23469028012594,1.59313738794866,2.01056329552713,1.46231645871763,70
"tep","persistence","GRU (seed 42)","Dynamics / IDV(13)",6,1.42931480868775,1.32055985160294,1.57321586183397,1.75585954801874,1.22846243343046,61
"tep","persistence","MLP (seed 42)","Dynamics / IDV(13)",0,1.95800270873718,1.86870827185138,2.05324913627536,1.30908275274108,0.668580664827259,80
"tep","persistence","MLP (seed 42)","Dynamics / IDV(13)",0.25,1.95116136545106,1.86093327524059,2.04331977514104,1.31435241683639,0.673625687813138,80
"tep","persistence","MLP (seed 42)","Dynamics / IDV(13)",0.5,1.92815810414796,1.84053524658501,2.01853622204653,1.32308333986877,0.68619027507261,80
"tep","persistence","MLP (seed 42)","Dynamics / IDV(13)",1,1.85268011020296,1.7688376873867,1.93924773744781,1.35009987557646,0.728728002282356,80
"tep","persistence","MLP (seed 42)","Dynamics / IDV(13)",1.5,1.77426786699926,1.68432561947912,1.8684816791791,1.36808301674666,0.771069037653506,78
