system,reference,model,domain,crossing,bracket_low,bracket_high,status,last_valid,bootstrap_no_crossing_fraction,conditional_ci_low,conditional_ci_high
tep,history_mean,mlp_s2024,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,history_mean,mlp_s31337,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,history_mean,mlp_s42,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,history_mean,mlp_s7,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,history_mean,ridge,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,drift,gru_s123,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,drift,gru_s2024,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,drift,gru_s31337,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,drift,gru_s42,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,drift,gru_s7,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,drift,mlp_s123,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,drift,mlp_s2024,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,drift,mlp_s31337,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,drift,mlp_s42,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,drift,mlp_s7,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,drift,ridge,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,ar1,gru_s123,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,ar1,gru_s2024,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,ar1,gru_s31337,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,ar1,gru_s42,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,ar1,gru_s7,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,ar1,mlp_s123,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,ar1,mlp_s2024,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,ar1,mlp_s31337,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,ar1,mlp_s42,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,ar1,mlp_s7,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,ar1,ridge,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,persistence,gru_s123,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,persistence,gru_s2024,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,persistence,gru_s31337,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
tep,persistence,gru_s42,obs_bias,,,,no_crossing_in_valid_grid,2.0,1.0,,
